,Proposed Edit,Incorrect Sentence,Correct Sentence
0,"Orig: [3, 4, ['आती']], Cor: [3, 4, ['आता']], Type: 'R:VERB-GEN'","मुझे बहुत गुस्सा आती है।
","मुझे बहुत गुस्सा आता है।
"
1,"Orig: [7, 8, ['उठा।']], Cor: [7, 8, ['उठी।']], Type: 'R:SPELL'","बिजली का बटन दबाते ही बत्ती जल उठा।
","बिजली का बटन दबाते ही बत्ती जल उठी।
"
2,"Orig: [3, 4, ['आई']], Cor: [3, 4, ['आए']], Type: 'R:VERB-GEN'","सीता और राम आई।
","सीता और राम आए।
"
3,"Orig: [1, 2, ['उसकी']], Cor: [1, 2, ['उसके']], Type: 'R:PRON-GEN'","मैंने उसकी मस्तक पर टीका लगायी।
","मैंने उसके मस्तक पर टीका लगाया।
"
4,"Orig: [5, 6, ['लगायी']], Cor: [5, 6, ['लगाया']], Type: 'R:VERB-GEN'","मैंने उसकी मस्तक पर टीका लगायी।
","मैंने उसके मस्तक पर टीका लगाया।
"
5,"Orig: [5, 6, ['बोली']], Cor: [5, 6, ['बोला']], Type: 'R:VERB'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
"
6,"Orig: [6, 7, ['थी']], Cor: [6, 7, ['था']], Type: 'R:VERB-GEN'","राधा ने मोहन से झूठ बोली थी।
","राधा ने मोहन से झूठ बोला था।
"
7,"Orig: [4, 5, ['दिखाई']], Cor: [4, 5, ['दिखाया']], Type: 'R:VERB-GEN'","राजू ने मुझे मथुरा दिखाई।
","राजू ने मुझे मथुरा दिखाया।
"
8,"Orig: [4, 5, ['बोला']], Cor: [4, 5, ['बोली']], Type: 'R:NOUN'","रानी मधुर स्वर में बोला।
","रानी मधुर स्वर में बोली।
"
9,"Orig: [3, 4, ['उठाई']], Cor: [3, 4, ['उठाया']], Type: 'R:VERB-GEN'","उसने अपना पर्स उठाई।
","उसने अपना पर्स उठाया।
"
